web-scraper-order,web-scraper-start-url,playerpage,playerpage-href,name and birthday,batting,throwing,height,weight,affiliate,OFP p,realistic p,mlb eta p,Overall,mechanics,risk factor,mlb eta,OFP,realistic,primary position,secondary position,physical,Hit,Power,baserunning,glove,arm,hit score,power score,baserunning score,glove score,arm score
"1531175039-398","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Austin Meadows","https://legacy.baseballprospectus.com/prospects/eyewitness_bat.php?reportid=207","Austin Meadows
		Born: 05/03/1995 (Age: 19)","Bats: Left","Throws: Left","Height: 6' 3""","Weight: 210","null","null","null","null","Meadows is a good, natural hitter, and that will ultimately determine his ceiling as a major leaguer. It is not, however, his only tool. The power profile is limited, though it's due primarily to his leadoff/line-drive approach at the plate. He could likely hit for slightly more power if he was willing to swing and miss more and sacrifice a few points on his batting average, but it's not his game. His patient approach at the plate constantly produces long, pitch-eating at-bats and he embraces the role.



In the field, Meadows is a good enough outfielder to handle center field. His speed isn't at the elite level you'd like from a center fielder, but he makes up for it with good jumps and strong instincts. He has enough speed to handle center field and should be able to stay there until he ages out of the position, unless he puts on a significant amount of weight and loses a step. 



The overall profile is similar to that of Christian Yelich, with a contact-oriented approach that leads to high batting averages, strong on-base skills and just enough power (mostly in the form of doubles) to keep pitchers honest. It's a definite big league profile and one that should make for an every day outfielder.","Tall thin frame, ideal for adding weight, which he will need to do; not weak but hasn't filled out yet. High waist, long legs.","Moderate,","2017","60","50, major league regular","Primary Position: CF","null","Tall thin frame, ideal for adding weight, which he will need to do; not weak but hasn't filled out yet. High waist, long legs.","Pros: Fluid swing with direct path to the ball; short, compact for a tall player; quick wrists make up for lack of elite bat speed; good feel for manipulating the barrel; uses whole field; buys into leadoff profile, patient hitter, works counts, constantly puts together good at-bats even when they don't result in a hit.



Cons: Doesn't use lower half, no weight transfer in swing; does not look to drive the ball, line drive approach.","Limited power profile, sacrifices power for contact; will run into a few home runs because of size, has strong wrists that will generate some pull-side power; approach at the plate limits power more than anything; does have good gap/doubles power and should post strong totals, but over-the-fence power is limited.","4.1 to first base; quick-twitch athlete, long strides; takes a few steps to get to full speed but then glides fluidly.","Good jumps, quick first step, limited wasted movement; glides gracefully towards the ball; smooth, effortless routes; won't be an elite center fielder due to lack of elite speed, but has enough speed and athleticism to handle it in his twenties; gets the most out of his abilities in the field.","Below-average arm strength, enough for center field but will limit him to left field if he has to move to a corner.","60","40","60","55","40"
"1531175488-606","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Conner Greene","https://legacy.baseballprospectus.com/prospects/eyewitness_pit.php?reportid=507","Conner Greene

			Born: 04/04/1995 (Age: 22)","Bats: Right","Throws: Right","Height: 6' 3""","Weight: 185","New Hampshire Fisher Cats (AA, Blue Jays)","70","60: First-Division Closer","2018","Relief profile with potential to devastate in short bursts. An electric fastball headlines the profile. The pitch flashes dominant characteristics, with a chance to play as an elite offering in short bursts. His breaking balls lack consistency, with neither showing potential for reliability in a starting role, though either could benefit from being thrown with more vigor in shorter outings. The change can be a weapon, particularly in keeping left-handed hitters off his fastball. He's loose with the entire arsenal, and his ability to throw strikes is completely absent at times to where he frequently required visits from a catcher or pitching coach to help make adjustments and get back on track - sometimes with little success. There's limited feel for pitching here, which leads him to rely on velocity, and he lacks the consistency and control projection to remain in a starting role. The fastball-change combination can be deadly in relief, however, and either breaking ball could work as an occasional third pitch to add a vertical element to one-inning stints.","Smooth, easy delivery; quick arm, lacks consistency, mechanical variations from the time he breaks his hands to the time he releases the ball; lanky body with lots of arms and legs to control, gets out of sync at times; great extension out front, good athlete, finishes in a solid position to field the ball; lots of nervous energy on the mound","70","FB","80","94-97","null","null","Smooth, easy delivery; quick arm, lacks consistency, mechanical variations from the time he breaks his hands to the time he releases the ball; lanky body with lots of arms and legs to control, gets out of sync at times; great extension out front, good athlete, finishes in a solid position to field the ball; lots of nervous energy on the mound","null","45","45","60","null","70","40","40","55","null"
"1531174276-42","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Drew Ward","https://legacy.baseballprospectus.com/prospects/eyewitness_bat.php?reportid=148","Drew Ward
		Born: 11/25/1994 (Age: 19)","Bats: Left","Throws: Right","Height: 6' 3""","Weight: 215","null","null","null","null","Interesting player; looks to have fun; goofing off in warmups and pre-game workouts; turns on the professional look during the game; annoyingly complains about every call; not bad makeup, but has some quirks that certain individuals may grow tired of.","Big kid; every bit of his listed size; broader shoulders and chiseled frame; looks like a sturdy football player; frame likely maxed; maybe a slight tick in strength/muscle left.","Moderate","2017","40","40; Bench Player","Primary Position: 3B","Secondary Position: 1B","Big kid; every bit of his listed size; broader shoulders and chiseled frame; looks like a sturdy football player; frame likely maxed; maybe a slight tick in strength/muscle left.","Average bat speed; long swing; long extension and capable of reaching outside portion of plate without stretching and becoming unbalanced; does not keep that balance; slight hitch and his load is not proportionate with his swing; will often be out on front foot; swing can become extremely elongated and slow; currently has slider bat speed; struggles to recognize good spin; can be routinely beaten with sharp stuff below the zone or in the dirt; approach is not terrific; will need to iron out balance and elongated swing before ever piecing together enough ability to consistently hit major league pitching.","Plus raw power; plays down due to contact concerns; hands explode near contact; slight arc in swing; pull oriented swing that allows for him to hit ball hard down the line; enough power to hit balls out that he does not barrel.","4.39 home to first; not fast; lumbering at times; feet are not quick; not an impact tool.","Choppy footwork; sluggish in the field; feet get tied up and has trouble going left; many balls fell through the hole; range is below average; better going towards the line; needs to set feet better for throws; any growth could move him off 3B; teams may decide to move him anyways because the overall body of work defensively will not reach average; more reaction than athleticism at 3B.","Plus arm; makes hard and accurate throws from 3B; displayed ability to make throws from the line to first; impact arm that could work at 3B or even LF if moved there.","30","50","30","45","60"
"1531174210-11","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Gabriel Ynoa","https://legacy.baseballprospectus.com/prospects/eyewitness_pit.php?reportid=142","Gabriel Ynoa

			Born: 05/26/1993 (Age: 21)","Bats: Right","Throws: Right","Height: 6' 2""","Weight: 205","St. Lucie Mets (High A, Mets)","55","Number 3/4 Starter","2016","Ynoa struggled with his command on an incredibly hot day in a noon start, but he showed flashes of what he can do so I'll give him some leeway for the lack of consistency. His fastball jumps out of his hand with a free, easy motion and he has no trouble generating velocity. His command should continue to improve as his legs fill out and help to better stabilize him. His slider was better in this start because he was more consistent with it, but the good change-ups he threw were better than his best sliders. The change-up has the potential to be a better pitch. He'll need it to combat left-handed hitters, who had no trouble squaring up his slider.","Long, lean frame; long, loose arm action. Ball comes out free and easy. Repeats his release point and mechanics despite a long delivery.","50","FB","60","92-94","null","null","Long, lean frame; long, loose arm action. Ball comes out free and easy. Repeats his release point and mechanics despite a long delivery.","null","50","40","55","null","50","45","35","45","null"
"1531175061-407","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Lance McCullers","https://legacy.baseballprospectus.com/prospects/eyewitness_pit.php?reportid=185","Lance McCullers

			Born: 10/02/1993 (Age: 20)","Bats: Left","Throws: Right","Height: 6' 1""","Weight: 205","Lancaster JetHawks (High A, Astros)","60","High Leverage Reliever","2017","McCullers displays a four-pitch mix, but only two of the offerings project as solid-average or better. But since it is a 70-grade fastball-curveball combination, there is higher margin of error. The changeup doesn't need to be average, but it does need to be usable. As he continues to get a feel for his delivery, the changeup could reach that projection. Plus makeup and work ethic to get it there.



While I give him a chance to start, I'm skeptical that he will be able to hit his upside. A realistic role for him would be as a high leverage reliever in the backend of a bullpen, where he can pump his fastball from 95-97 mph with his lethal curveball. This is his realistic scenario because the life and command his offerings project as below-average; best I can see is 45-grade in both scenarios. The command won't be there due to the violent head whack and lengthy arm action, though it does allow for his stuff to be as good as it is.



The floor is that of a quality reliever. I think he could pitch in a bullpen right now, actually, because of how good the pure stuff is. But there is no need to pull the plug on the (unlikely) chance he could stick in a rotation this early in his development.","High three-quarters arm slot; effort in the delivery; does repeat delivery; very long arm action; hitters don't pick see the ball; arm speed doesn't allow for the arm to come through on time; affects the stuff and command; head whack; medium frame; stocky build; physically mature; lacks physical projection; highly competitive on the mound; can get frustrated when he's missing his spots; major league bloodlines.","65","Fastball","70","94","null","null","High three-quarters arm slot; effort in the delivery; does repeat delivery; very long arm action; hitters don't pick see the ball; arm speed doesn't allow for the arm to come through on time; affects the stuff and command; head whack; medium frame; stocky build; physically mature; lacks physical projection; highly competitive on the mound; can get frustrated when he's missing his spots; major league bloodlines.","null","70","45","40","null","65","65","40","35","null"
"1531174523-156","https://legacy.baseballprospectus.com/prospects/eyewitness.php","A.J. Simcox","https://legacy.baseballprospectus.com/prospects/eyewitness_bat.php?reportid=403","A.J. Simcox
		Born: 06/22/1994 (Age: 22)","Bats: Right","Throws: Right","Height: 6' 3""","Weight: 185","null","null","null","null","Simcox won't bring much to the plate, but he profiles well as a utility infielder capable of bringing strong defensive value all over the diamond.","Large frame, ideal body for position player, good looking athlete","Medium","2019","45","40: Utility Player","Primary Position: SS","null","Large frame, ideal body for position player, good looking athlete","Even, tall stance, short hand path, fair hands, average bat speed; line-drive swing path, uses the whole field, power is primarily pull-side; shows an eye and some zone command, tends to get aggressive early in count","Well below-average power, not a part of game; lacks loft in swing, pop he has will play at full utility with doubles, limited over-the-fence power","Average runner, good runner, speed plays better than size suggests","Average present fielder, quality footwork, soft hands, confidence on the backhand; surprising lateral range given size, strong first step, body control to execute difficult plays","Plus arm strength, quality throws with mustard, accuracy comes and goes, fairly consistent with mechanics","40","30","50","55","60"
"1531175458-592","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Vladimir Guerrero Jr.","https://legacy.baseballprospectus.com/prospects/eyewitness_bat.php?reportid=504","Vladimir Guerrero Jr.
		Born: 03/16/1999 (Age: 19)","Bats: Right","Throws: Right","Height: 6' 1""","Weight: 200","null","null","null","null","Good and he knows it, but more of a quiet confidence for the most part. Even-keeled on the field and at the plate. Gets his work in. Will confirm with the ump about the zone, but not overly chatty. There's some swag under the surface. The bloodlines don't need much explanation here.","I described him in the Annual as ""his father reflected in a concave carnival mirror."" That still applies. Strong kid, but it's a much thicker lower half than you see from most major leaguers on the left side of the infield.","Low","2019","80","70: All-star first baseman","Primary Position: 3B","null","I described him in the Annual as ""his father reflected in a concave carnival mirror."" That still applies. Strong kid, but it's a much thicker lower half than you see from most major leaguers on the left side of the infield.","It's his father's swing, but coupled with a better approach. Tracks east-west better than north-south and your best breakers might beat him. Potentially elite combination of bat speed and barrel control. Works the big part of the park when he's behind in the count. Incredibly advanced strike zone control for his age/level. Could win a batting title.","It's not the most majestic raw power display you'll ever see, but it's plus-plus from line to line and he'll get all of it into games eventually. An absolute danger to any fastball he zones ahead in the count. Game power plays mostly to pull side at present if only because there is too much bat speed for most Double-A stuff. Will wait and do damage to the opposite field at times already though. 30 home run guy at peak. The bat makes THAT sound.","Clocked 4.6 to 4.8. Not high effort down the line. Better second gear than you'd think going first to third. Speed is not going to be part of his game though.","Might get to the majors as a third baseman, but that lower half likely won't last there. Slow coming in on balls. Arm can cover some for range issues at present. Sneaky athletic, made a nice turn on a bad throw functionally playing shortstop on an over shift. Good stretch at third on a bunt force. Hands and instincts are fine. Could be above-average at first.","Plus-plus arm strength. Doesn't always get to all of it while on the move. Can be a bit scattershot","70","70","30","40","70"
"1531175082-417","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Ketel Marte","https://legacy.baseballprospectus.com/prospects/eyewitness_bat.php?reportid=236","Ketel Marte
		Born: 10/12/1993 (Age: 21)","Bats: Switch","Throws: Right","Height: 6' 1""","Weight: 165","null","null","null","null","Hard worker who loves to play; good teammate; passionate; understands his limitations as a player.","Skinny frame, room to add weight without sacrificing speed; nimble and athletic body; should add a few pounds at maturation; currently has a broken left thumb.","Low","2015","55","50; Second Division Starter","Primary Position: SS","Secondary Position: 2B","Skinny frame, room to add weight without sacrificing speed; nimble and athletic body; should add a few pounds at maturation; currently has a broken left thumb.","Impressive bat-to-ball skills; natural feel for the barrel from both sides of the plate; short, compact swing tailored for line drives; hits lefties better than righties; shortens swing for elite velocity; smooth trigger, simple load; good feel for the strike zone; starts with elevated elbows, drops hands as part of a timing mechanism; prone to pulling head; likes to swing early in counts;  often shows immature approach; will not walk much; likely will not have a pronounced platoon split at the highest level.","Short swing limits power potential; could hit 5+ homers per season as he adds weight, although current frame and approach are more conducive to contact than power; speed will allow him to stretch singles into doubles, doubles into triples.","4.16-4.25 home to first as a righty, 4.09-4.12 as a lefty; rounds bases efficiently; still developing instincts as a base stealer--saw him take off too early when trying to time a pitcher.","Quick twitch athlete; breaks well to right and left; comfortable charging the ball; average range for a shortstop; choppy footwork when fielding balls laterally, particularly to his right; fundamentally sound approach to fielding a ground ball at him; quick release on double plays; skills fit better at second than short, where he'll be able to set his feet and have more time to throw.","Arm is below average for a shortstop; throws from the six-hole loop to first base; accurate when he gets his feet set; arm will play at second base.","55","35","60","55","45"
"1531174971-366","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Steven Moya","https://legacy.baseballprospectus.com/prospects/eyewitness_bat.php?reportid=80","Steven Moya
		Born: 08/09/1991 (Age: 22)","Bats: Left","Throws: Right","Height: 6' 7""","Weight: 260","null","null","null","null","Moya is a physical specimen, but you have to be concerned about the complete lack of a hit tool. The plate discipline is poor and he shows no ability to learn in-game. The swing is generally inconsistent and makes you forget the terrific power he displays in batting practice. Moya is a batting practice champion and an organizational player in games at this point.","Tall and lean; giant's body with room for growth into frame; skinny legs; lean, muscular top; Major league body with huge projection","High","2015","45","30: Organizational Player","Primary Position: RF","Secondary Position: LF","Tall and lean; giant's body with room for growth into frame; skinny legs; lean, muscular top; Major league body with huge projection","Swing is very inconsistent; hands will drift and drop; long extension; swing can become elongated; bat path through zone is inconsistent; plus bat speed; poor eye and cannot pick up spin; struggles with low and away offerings; load is inconsistent and sometimes non-existent; rolls over on a ton of pitches; will step in the bucket and drop shoulder; poor hitter that showed no improvement in the entire series.","Plus to plus-plus raw power; mammoth power tool but lacks the skill-set to exemplify tool against major league competition without cheating; does not play at all in-game; slight uppercut in swing; plus bat speed.","Average runner with long legs; takes a bit to get into second gear; 4.22 and 4.25 to first base on ground ball's to 2B. Speed is not a detriment in corner OF.","Defense is adventurous; route running is sub-par; moves well towards the line; struggles in gap; first step is solid; displayed some trouble going back on balls; Fringe-average due to consistencies and lacking pure instincts.","Plus arm but plays down due to inaccuracy; Can make all throws on a line; comes from a terrific plane and shows ability to laser it to home and third.","20","50","50","45","55"
"1531175250-497","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Rob Kaminsky","https://legacy.baseballprospectus.com/prospects/eyewitness_pit.php?reportid=282","Rob Kaminsky

			Born: 09/02/1994 (Age: 20)","Bats: Right","Throws: Left","Height: 5' 11""","Weight: 190","Palm Beach Cardinals (High A, Cardinals)","55","50, Number 4/5 starter","2017","A lack of size and fluidity to his delivery leave Kaminsky without much projection despite being just 20 years old. He shows good pitchability for a player his age, understanding how to add and subtract with both his fastball and curveball and showing a feel for the development of his change-up, which has the potential to be a third above-average offering. None of the pitches showed as potential plus offerings, however, leaving him with a relatively high floor but a low ceiling as a back-end starter.","Build: Short, thin; needs to ad some strength in lower half but doesn't have a lot of room for growth in frame.



Mechancis: Low 3/4 arm slot; not smooth or fluid arm action, some violence in explosion towards plate, does not gather well at top of delivers, rushes thorugh; does not use lower half enough; arm action is stiff and short on back end; short stride leaves him throwing uphill over his front side.","45","Fastball","55","86-92","null","null","Build: Short, thin; needs to ad some strength in lower half but doesn't have a lot of room for growth in frame.



Mechancis: Low 3/4 arm slot; not smooth or fluid arm action, some violence in explosion towards plate, does not gather well at top of delivers, rushes thorugh; does not use lower half enough; arm action is stiff and short on back end; short stride leaves him throwing uphill over his front side.","null","55","55","null","null","45","50","45","null","null"
"1531175097-424","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Matt Manning","https://legacy.baseballprospectus.com/prospects/eyewitness_pit.php?reportid=528","Matt Manning

			Born: 01/28/1998 (Age: 19)","Bats: Right","Throws: Right","Height: 6' 6""","Weight: 190","(, )","55","4: Middle reliever","2021???","Athletic build with projection left. Only 19, but the stuff didn't wow in either look. Could come together quickly based on how it flashed, but extreme risk profile here given the inconsistent mechanics and inability to maintain velocity. Tough to see front-of-the-rotation upside at present, but two potential above-average pitches in fastball and curve. Wouldn't be shocked if he pops up at as a 7/6 reliever in a few years, but he'll get plenty of chances to put it together in the rotation.","7/12: SWU, low leg kick, hitch and short stride, average arm circle to OTT. Not a lot of lower half, leg lift varies in height. Fast arm, but late acceleration to catch up, will lose release point. Funky, but athletic enough to repeat and mostly stay on line.



7/21: Hesitation has mostly smoothed out, slot closer to H3/4. Was feeling through his delivery more. Arm played catch-up all night.","50","FB","60","90-93","null","null","7/12: SWU, low leg kick, hitch and short stride, average arm circle to OTT. Not a lot of lower half, leg lift varies in height. Fast arm, but late acceleration to catch up, will lose release point. Funky, but athletic enough to repeat and mostly stay on line.



7/21: Hesitation has mostly smoothed out, slot closer to H3/4. Was feeling through his delivery more. Arm played catch-up all night.","null","55","40","null","null","50","45","30","null","null"
"1531174908-336","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Aaron Northcraft","https://legacy.baseballprospectus.com/prospects/eyewitness_pit.php?reportid=244","Aaron Northcraft

			Born: 05/28/1990 (Age: 24)","Bats: Right","Throws: Right","Height: 6' 4""","Weight: 230","El Paso Chihuahuas (AAA, Padres)","40","30; Organizational Arm","2016","Northcraft has a feel for pitching and demonstrated an ability to attack a hitter’s weaknesses. He also generally locates his fastball well, but with minimal velocity and limited plane, he must be precise with his command to have success. The slider is flat and while he can spot it to both sides of the plate, it isn’t a bat-misser. The change tumbles early and isn’t an out pitch. 



The right-hander doesn’t have an impact offering, but a switch to relief could help the slider play up a grade. If short work also helps him live at the upper end of his velocity range more often, he could have some success as a middle reliever.","Mechanics: Big body; low three-quarters arm slot; leg wrap feeds into drop and drive; arm drag; controlled motion; maintains posture throughout smooth delivery; clean ending to delivery allows him to field position effectively; doesn’t hide the ball well; average arm speed; average momentum; limited room for projection.","40","Fastball","40","87-88","null","null","Mechanics: Big body; low three-quarters arm slot; leg wrap feeds into drop and drive; arm drag; controlled motion; maintains posture throughout smooth delivery; clean ending to delivery allows him to field position effectively; doesn’t hide the ball well; average arm speed; average momentum; limited room for projection.","null","40","40","null","null","40","30","30","null","null"
"1531174221-16","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Brandon Workman","https://legacy.baseballprospectus.com/prospects/eyewitness_pit.php?reportid=11","Brandon Workman

			Born: 08/13/1988 (Age: 24)","Bats: Right","Throws: Right","Height: 6' 5""","Weight: 235","Pawtucket Red Sox (AAA, Red Sox)","55","Set Up Man","2013","Fastball-dominant outing; commanded offering very well in lower tier of zone; pounded zone with heater; got ahead of hitters; missed bats with the fastball; limited solid contact; one major mistake with pitch was taken deep; lacks life and movement at 90-91; better at throwing pitch glove side; got away from him arm side; inconsistent snapping curveball; soft when wraps wrist around ball; hard break when stayed on top; delivery looked looser than previously; arm action on the short side; didn’t have best feel of cutter; will need secondary stuff against advanced hitters.

Overall, project Workman as a seventh/eighth inning reliever, with a set-up man ceiling. The pitcher has a chance to continue starting in the near term and at the very least get a shot at Triple-A, but I feel he is best suited for relief over the long run. Workman has made strides improving his fastball command, which showed in this outing. He consistently hit the target in the lower tier of the strike zone and avoided working elevated too often. He had an easier time hitting spots glove side than arm side. Workman’s fastball tended to get away from him in that spot due to the way he releases the ball. I was impressed with the amount of swings and misses he got with the heater, but it was a very weak Double-A lineup. I don’t think he’ll be able to churn through an advanced lineup without having his secondary stuff, which was very inconsistent in this start. Workman’s curve showed some flashes, but he struggled snapping it off and staying on top of it. The pitcher does expend some extra energy during his delivery and wear down when he labors. The mechanics and arm action can get jerky as well, although in this outing things were smoother. For me, Workman’s stuff has a chance to play up well in a relief role. While his stuff is good, the secondary stuff is on the inconsistent side and shorter outings may allow him to strip down to what is working. It is a good sign he is making progress at the level. I will be interesting to see how Workman handles making adjustments now that lineups are seeing him for the second time.","¾ arm slot; shorter with arm action; effort in the delivery; some jerk and head snap; improvement becoming smoother; balanced motion; uses body to finish; expends extra energy; body to handle rigors of the position and the long baseball season; not the best of feet, but lands soft enough.","60","Fastball","60","90-94","null","null","¾ arm slot; shorter with arm action; effort in the delivery; some jerk and head snap; improvement becoming smoother; balanced motion; uses body to finish; expends extra energy; body to handle rigors of the position and the long baseball season; not the best of feet, but lands soft enough.","null","55","60","null","null","60","50","55","null","null"
"1531175935-815","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Bo Bichette","https://legacy.baseballprospectus.com/prospects/eyewitness_bat.php?reportid=509","Bo Bichette
		Born: 03/05/1998 (Age: 20)","Bats: Right","Throws: Right","Height: 6' 0""","Weight: 200","null","null","null","null","6/6 offensive profile, can get a little out of control when he muscles up, but better plate coverage than you'd think. Good enough defender in the middle infield, interested to see how the frame matures. One of the 20 best prospects in baseball.","Frame is on the smallish side, room for added physical projection. Athletic. Plus flow.","Medium","2019","70","60: Plus regular up the middle","Primary Position: SS","Secondary Position: 2B","Frame is on the smallish side, room for added physical projection. Athletic. Plus flow.","It's unorthodox. Big wrap behind back shoulder with hitch, near armbar, bat speed and control are so good it won't really matter. Bat speed and hand-eye allows him to really let it get deep, but he goes through jags where he tries to pull everything. Can get exploited when he gets aggressive (which is often at present). Tracks well, knows zone, will spit on a close FB. Plus-plus bat speed, plus approach, plus hit.","Plus power line to line, ball jumps, could add more raw if he fills out. Should get to most of it.","4.3 dig, suspect there is more in the tank at present, but likely average at maturity.","Solid fielder, good hands and instincts, smooth around the bag, range is a little light and puts pressure on his arm. Everything just feels a half-grade short for the 6, grinds to be fringy, won't kill you there. Makes most of the plays. Above-average to plus projection at second.","Above-average arm strength, doesn't have that clothesline carry, can't really let it loose deep in the 5.5 hole, weird mechanics, best throws come out sidearm, will flash 6, would be fine at second.","60","60","50","45","55"
"1531175813-757","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Jorgan Cavanerio","https://legacy.baseballprospectus.com/prospects/eyewitness_pit.php?reportid=381","Jorgan Cavanerio

			Born: 08/18/1994 (Age: 21)","Bats: Right","Throws: Right","Height: 6' 1""","Weight: 155","Jupiter Hammerheads (High A, Marlins)","40","4th/5th Starter","2019","Interesting young arm with some potential, already does a good job of throwing strikes, need to see more consistency from the CB before he could be in a rotation. Potential 4/5 starter. Would acquire.



Control- 50/55

Command 40/50","Medium frame with a wiry body; some projection remaining given age and current body. Pitches from a 1/2 WU with a rocker step; tight compact delivery; medium back turn at MLL; partially shows numbers; long arm action with fair arm speed; H 3/4 slot.","45","Fastball","55","89-91","null","null","Medium frame with a wiry body; some projection remaining given age and current body. Pitches from a 1/2 WU with a rocker step; tight compact delivery; medium back turn at MLL; partially shows numbers; long arm action with fair arm speed; H 3/4 slot.","null","60","45","null","null","45","55","35","null","null"
"1531175065-409","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Ryan McBroom","https://legacy.baseballprospectus.com/prospects/eyewitness_bat.php?reportid=380","Ryan McBroom
		Born: 04/09/1992 (Age: 24)","Bats: Right","Throws: Left","Height: 6' 3""","Weight: 235","null","null","null","null","McBroom is limited to first base, which limits his overall value given. His plus raw power plays at average in game, and he has some value as a weak-side platoon player. Mild interest.","Large body, extra-large muscular frame; filled-out upper half, lacks remaining projection","Medium","2018","45","40: Platoon/bench bat","Primary Position: 1B","Secondary Position: LF","Large body, extra-large muscular frame; filled-out upper half, lacks remaining projection","Slightly closed stance, wide base; below-average bat speed, strength over bat speed swing, uphill swing path, makes hard loud contact when he connects; long swing, slow trigger, decent balance; fair pitch recognition, struggles on inner half; looks to extend on pitches away","Plus raw power; loud contact with strength to take the ball out to pull side and straight away; has loft on hit balls; plays down due to long swing and below-average hit utility","Well-below average runner; 4.54 home-to-first, not a base-stealer","Fair at first base, makes the routine plays; decent footwork around bag; lacks speed and arm for outfield, looks lost at times, first-base only, 30 on the grass","Below-average arm; lacks carry on throws, doesn't play anywhere other than first","40","50","30","50","40"
"1531174495-146","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Austin Slater","https://legacy.baseballprospectus.com/prospects/eyewitness_bat.php?reportid=303","Austin Slater
		Born: 12/13/1992 (Age: 23)","Bats: Right","Throws: Right","Height: 6' 2""","Weight: 197","null","null","null","null","Capable, likely 4th OF with quick bat and ability to drive ball. Generates power through bat speed, upper half. Early count aggressiveness leads to swing and miss tendencies. Doesn't use lower half much. Shows athleticism and potential.","lean, athletic build; mature","Medium","2017","40","Capable 4th OF","Primary Position: CF","Secondary Position: LF","lean, athletic build; mature","quick, compact stroke; hands drift a little in load, but wrists are fast enough to compensate; not much use of lower half; will take a pitch to the opposite field; aggressive early in a count; aggressiveness leads to swing and miss","50 raw; gap-to-gap power, able to drive ball to opposite field; aggressive approach and reliance on upper half will limit realization of power; capable of making hard contact and running into a few","no run times, but athletic","capable outfielder; makes all the necessary plays","not tested","40","40","0","50","0"
"1531174833-300","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Angel Perdomo","https://legacy.baseballprospectus.com/prospects/eyewitness_pit.php?reportid=341","Angel Perdomo

			Born: 05/07/1994 (Age: 21)","Bats: Left","Throws: Left","Height: 6' 6""","Weight: 200","Lansing Lugnuts (Low A, Blue Jays)","40","Middle Reliever/Swingman","2019","Perdomo's size forces you to take notice of him when he steps on the mound.  Command will be the determining factor with his ceiling.  At times he will flash the ability to command the baseball to both sides of the plate and others he will lose it with his front shoulder flying open and arm dragging behind.  When mechanics are in sync, he attacks hitters with his fastball/slider combination that induces strikeouts and weak contact.  2016 is a big developmental year for Perdomo and if the 21 year old can limit his walks while still striking out over a batter an inning, he could be in line for a promotion to High-A midsummer.","Large frame with thick lower half and long limbs;  Room for strength on upper half.

 

Semi-windup with 3/4 arm slot; Long in back with full arm circle; Average arm speed with extension out front; Recoil in follow through with slight crossfire to landing; Tendency to over-rotate and fall off mound to 3rd.  In stretch, mechanics take a step backward with inconsistent hand separation and rushes to plate.","50","Fastball","60","90","null","null","Large frame with thick lower half and long limbs;  Room for strength on upper half.

 

Semi-windup with 3/4 arm slot; Long in back with full arm circle; Average arm speed with extension out front; Recoil in follow through with slight crossfire to landing; Tendency to over-rotate and fall off mound to 3rd.  In stretch, mechanics take a step backward with inconsistent hand separation and rushes to plate.","null","50","40","null","null","50","30","30","null","null"
